country,code,continent,life_sat,good_day,typical_day,bad_day,happy_eb,happy_wvs,pop,gdp_cap,hdi,life_sat_sd,pos_affect,neg_affect,log_gdp,hlife_exp,gini,social,freedom,generosity,corruption_percep,gov_conf
Belgium,BEL,Europe,6.948936462,,,,91.500923,,10815599,41945.6921230227,0.89,1.4970237016677856,0.7645900845527649,0.25965338945388794,10.63217830657959,71.52167510986328,0.2759,0.9289640784263611,0.865759015083313,-0.06425423175096512,0.4966591000556946,0.41917750239372253
Belize,BLZ,North America,5.955646515,,,,,,330721,7831.45448605653,0.715,2.455256700515747,0.7549773454666138,0.2816044092178345,8.992620468139648,58.865047454833984,,0.7569324970245361,0.8735690712928772,0.004267530050128698,0.7821053862571716,0.3842671811580658
Benin,BEN,Africa,4.007357597,,,,,,9606534,2009.96138385757,0.48,2.191754102706909,0.6082369685173035,0.45576760172843933,7.621523380279541,50.76924514770508,0.43439999999999995,0.49281585216522217,0.779795229434967,-0.03852104768157005,0.837715744972229,0.6374453902244568
Bermuda,BMU,North America,,,,,,,65335,50669.3147696996,,,,,,,,,,,,
Bhutan,BTN,Asia,5.082128525,,,,,,762313,8105.79696747824,0.605,1.4748468399047852,0.8096414804458618,0.3115893006324768,8.936083793640137,60.59608840942383,,0.8475744128227234,0.8301015496253967,0.2880955934524536,0.6339557766914368,0.9463930130004883
Bolivia,BOL,South America,5.769723415,,,,,,10409761,6707.95618414272,0.662,2.0505731105804443,0.783008873462677,0.3764122426509857,8.797091484069824,60.04561996459961,0.4806,0.7959587574005127,0.8817487359046936,-0.03989507630467415,0.852592945098877,0.40174227952957153
Bonaire Sint Eustatius and Saba,BES,North America,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Europe,5.180865288,,,,,81.833336,3735880,11179.3499096767,0.733,2.2160487174987793,0.6407643556594849,0.3040802776813507,9.240181922912598,67.77558135986328,0.33039999999999997,0.8077051043510437,0.6334537267684937,0.14072829484939575,0.9573119878768921,0.2121884971857071
Botswana,BWA,Africa,3.498936653,,,,,,2074616,15513.4419327624,0.698,2.685791492462158,0.6856667399406433,0.2518365979194641,9.624712944030762,55.19362258911133,,0.7683027982711792,0.8516948819160461,-0.2584221363067627,0.7291718125343323,0.8031308054924011
Bouvet Island,BVT,Antarctica,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,South America,6.374817371,56,37,6,,91.784515,200050487,14023.6916227341,0.755,2.5180392265319824,0.7631124258041382,0.302083820104599,9.525510787963867,64.83092498779297,0.5287,0.912455141544342,0.8065715432167053,-0.11032358556985855,0.7810927629470825,0.264140248298645
British Indian Ocean Territory,IOT,Asia,,,,,,,,,,,,,,,,,,,,
British Virgin Islands,VGB,North America,,,,,,,23928,,,,,,,,,,,,,
Brunei,BRN,Asia,,,,,,,419772,71788.7833914688,0.856,,,,,,,,,,,
Bulgaria,BGR,Europe,4.837560654,,,,48.390835,55.744255,7349462,17709.0751859959,0.782,1.9175925254821777,0.6218551397323608,0.17169985175132751,9.766366958618164,68.22972869873047,0.3601,0.9260360598564148,0.7002655267715454,-0.17419268190860748,0.935988187789917,0.2212417721748352
Burkina Faso,BFA,Africa,4.205634594,,,,,79.882431,18011507,1594.57677663495,0.402,1.9667134284973145,0.6160668730735779,0.337300181388855,7.376116752624512,51.10700225830078,,0.7644011378288269,0.6446815133094788,0.016965307295322418,0.7205424308776855,0.6637113690376282
Burundi,BDI,Africa,2.904535055,,,,,,8911183,721.176561507115,0.4,2.2163455486297607,0.6556637287139893,0.25109463930130005,6.5991692543029785,48.593162536621094,,0.5646781325340271,0.43138498067855835,-0.03799229487776756,0.8076188564300537,
Cambodia,KHM,Asia,4.461259365,,,,,,14656016,3462.84094868201,0.555,2.5605764389038086,0.8385519981384277,0.39820030331611633,8.14667797088623,58.53693771362305,0.30760000000000004,0.7459012269973755,0.9578214883804321,0.07787321507930756,0.8404168486595154,
Cameroon,CMR,Africa,4.816232204,,,,,,20913595,3045.91916487331,0.512,2.363250970840454,0.6615234613418579,0.36709338426589966,8.020015716552734,48.338279724121094,0.4282,0.6592997908592224,0.7125070095062256,0.00416181143373251,0.8794505596160889,0.6212210655212402
Canada,CAN,North America,7.244845867,37,54,8,,95.05088,34993747,43087.7573653648,0.913,1.7764630317687988,0.8245863914489746,0.2374228686094284,10.67451286315918,72.29830169677734,0.3368,0.9243925213813782,0.9124239087104797,0.19609661400318146,0.3850904405117035,0.6181952953338623
Cape Verde,CPV,Africa,,,,,,,510213,6074.75454769943,0.646,,,,,,,,,,,
Cayman Islands,CYM,North America,,,,,,,57708,49903.0285395752,,,,,,,,,,,,
Central African Republic,CAF,Africa,2.693061113,,,,,,4666833,647.880444824102,0.35,2.250887393951416,0.5786538124084473,0.4942680597305298,,44.02322006225586,,0.2901841700077057,0.6240565180778503,,0.8590730428695679,0.7487545609474182
Chad,TCD,Africa,4.029350281,,,,,,12141876,1845.91467919154,0.392,2.435532808303833,0.5824582576751709,0.46756675839424133,7.584248065948486,45.1081428527832,0.43320000000000003,0.6162048578262329,0.52522212266922,0.04137150198221207,0.8197888731956482,0.5130217671394348
Channel Islands,OWID_CIS,Europe,,,,,,,,,,,,,,,,,,,,
Chile,CHL,South America,6.579056263,26,68,5,,84.669342,17574464,22706.7205369649,0.832,1.986255407333374,0.8692288994789124,0.2830421030521393,10.010035514831543,71.83113861083984,0.5045000000000001,0.8413881659507751,0.6522897481918335,0.08974462747573853,0.8581249713897705,0.20353886485099792
China,CHN,Asia,5.32495594,,,,,84.995628,1359368470,14400.8860587191,0.728,1.9963380098342896,0.8261443972587585,0.14562515914440155,9.561012268066406,69.06670379638672,0.42060000000000003,0.7417030334472656,,-0.24521981179714203,,
Christmas Island,CXR,Asia,,,,,,,1400,,,,,,,,,,,,,
Cocos Islands,CCK,Asia,,,,,,,596,,,,,,,,,,,,,
Colombia,COL,South America,6.233715057,61,34,5,,91.594971,48165221,13124.3248435936,0.72,2.568723440170288,0.7935314774513245,0.29422277212142944,9.486230850219727,64.00605773925781,0.5349,0.8819003701210022,0.8349661231040955,-0.1077970564365387,0.8975538611412048,0.26125118136405945
